Validation_Set,Topics,Alpha,Beta,Coherence
80% Corpus,10,0.5,0.8999999999999999,0.3880663833040957
80% Corpus,10,0.5,symmetric,0.44580346626951356
80% Corpus,10,0.6,0.5,0.4451049240825461
80% Corpus,10,0.6,0.6,0.3868864165547826
80% Corpus,10,0.6,0.7,0.39088179435432696
80% Corpus,10,0.6,0.7999999999999999,0.44210135819459817
80% Corpus,10,0.6,0.8999999999999999,0.2939949439098236
80% Corpus,10,0.6,symmetric,0.4399837931988751
80% Corpus,10,0.7,0.5,0.453195788846549
80% Corpus,10,0.7,0.6,0.3970083819236524
80% Corpus,10,0.7,0.7,0.392809742934809
80% Corpus,10,0.7,0.7999999999999999,0.378665624171918
80% Corpus,10,0.7,0.8999999999999999,0.365037081104821
80% Corpus,10,0.7,symmetric,0.4296976378935895
80% Corpus,10,0.7999999999999999,0.5,0.46283445117286764
80% Corpus,10,0.7999999999999999,0.6,0.4041435542931632
80% Corpus,10,0.7999999999999999,0.7,0.3525898543006306
80% Corpus,10,0.7999999999999999,0.7999999999999999,0.35349861256063636
80% Corpus,10,0.7999999999999999,0.8999999999999999,0.4227406698431905
80% Corpus,10,0.7999999999999999,symmetric,0.44318349659065354
80% Corpus,10,0.8999999999999999,0.5,0.4640913342297065
80% Corpus,10,0.8999999999999999,0.6,0.41203756236667327
80% Corpus,10,0.8999999999999999,0.7,0.350877526281857
80% Corpus,10,0.8999999999999999,0.7999999999999999,0.4236810129128242
80% Corpus,10,0.8999999999999999,0.8999999999999999,0.35501563921966295
80% Corpus,10,0.8999999999999999,symmetric,0.4339682283701765
80% Corpus,10,symmetric,0.5,0.41193032425129095
80% Corpus,10,symmetric,0.6,0.35809036464684973
80% Corpus,10,symmetric,0.7,0.3782709148636997
80% Corpus,10,symmetric,0.7999999999999999,0.39150067791383564
80% Corpus,10,symmetric,0.8999999999999999,0.4890043754106653
80% Corpus,10,symmetric,symmetric,0.45590490516687254
80% Corpus,10,asymmetric,0.5,0.4265140236119332
80% Corpus,10,asymmetric,0.6,0.4790914244290902
80% Corpus,10,asymmetric,0.7,0.4238643311160186
80% Corpus,10,asymmetric,0.7999999999999999,0.4803834435181059
80% Corpus,10,asymmetric,0.8999999999999999,0.4220006548892593
80% Corpus,10,asymmetric,symmetric,0.4573330923701084
100% Corpus,5,0.5,0.5,0.3815627687552968
100% Corpus,5,0.5,0.6,0.4014862330758646
100% Corpus,5,0.5,0.7,0.40131657709096996
100% Corpus,5,0.5,0.7999999999999999,0.4173761818427509
100% Corpus,5,0.5,0.8999999999999999,0.4419316666371058
100% Corpus,5,0.5,symmetric,0.3620193113114876
100% Corpus,5,0.6,0.5,0.3839246776822379
100% Corpus,5,0.6,0.6,0.4019228133337343
100% Corpus,5,0.6,0.7,0.40344427589799486
100% Corpus,5,0.6,0.7999999999999999,0.41817411393970516
100% Corpus,5,0.6,0.8999999999999999,0.4436233226439093
100% Corpus,5,0.6,symmetric,0.3652640013385623
100% Corpus,5,0.7,0.5,0.37936597661423777
100% Corpus,5,0.7,0.6,0.40280882603229334
100% Corpus,5,0.7,0.7,0.40731384147837446
100% Corpus,5,0.7,0.7999999999999999,0.41993965261155
100% Corpus,5,0.7,0.8999999999999999,0.4370531199689662
100% Corpus,5,0.7,symmetric,0.36445490354186816
100% Corpus,5,0.7999999999999999,0.5,0.3839246776822379
100% Corpus,5,0.7999999999999999,0.6,0.3941183224875131
100% Corpus,5,0.7999999999999999,0.7,0.4038735236990316
100% Corpus,5,0.7999999999999999,0.7999999999999999,0.41586651132603947
100% Corpus,5,0.7999999999999999,0.8999999999999999,0.4334715443098422
100% Corpus,5,0.7999999999999999,symmetric,0.36125581166775167
100% Corpus,5,0.8999999999999999,0.5,0.3854989473687914
100% Corpus,5,0.8999999999999999,0.6,0.39642201603361416
100% Corpus,5,0.8999999999999999,0.7,0.4055354231375078
100% Corpus,5,0.8999999999999999,0.7999999999999999,0.41578791525567793
100% Corpus,5,0.8999999999999999,0.8999999999999999,0.43373700208797644
100% Corpus,5,0.8999999999999999,symmetric,0.3612472520945661
100% Corpus,5,symmetric,0.5,0.3765938501573749
100% Corpus,5,symmetric,0.6,0.38867391779105065
100% Corpus,5,symmetric,0.7,0.39714408755680114
100% Corpus,5,symmetric,0.7999999999999999,0.4185251224257517
100% Corpus,5,symmetric,0.8999999999999999,0.42648013191517026
100% Corpus,5,symmetric,symmetric,0.3623814890948811
100% Corpus,5,asymmetric,0.5,0.3885842170877165
100% Corpus,5,asymmetric,0.6,0.3889701999848075
100% Corpus,5,asymmetric,0.7,0.39026760882396083
100% Corpus,5,asymmetric,0.7999999999999999,0.389563223268908
100% Corpus,5,asymmetric,0.8999999999999999,0.43761803497655327
100% Corpus,5,asymmetric,symmetric,0.35988175138544787
100% Corpus,6,0.5,0.5,0.4102208142229329
100% Corpus,6,0.5,0.6,0.4221230573185653
100% Corpus,6,0.5,0.7,0.4421304065556084
100% Corpus,6,0.5,0.7999999999999999,0.4094391987317055
100% Corpus,6,0.5,0.8999999999999999,0.42883492962083963
100% Corpus,6,0.5,symmetric,0.38474728521841856
100% Corpus,6,0.6,0.5,0.40657390528033294
100% Corpus,6,0.6,0.6,0.41609959609273633
100% Corpus,6,0.6,0.7,0.4324324777720279
100% Corpus,6,0.6,0.7999999999999999,0.4179232480126194
100% Corpus,6,0.6,0.8999999999999999,0.42120856979833277
100% Corpus,6,0.6,symmetric,0.38651851598119263
100% Corpus,6,0.7,0.5,0.4124158201630568
100% Corpus,6,0.7,0.6,0.41111189528872333
100% Corpus,6,0.7,0.7,0.43196451522581003
100% Corpus,6,0.7,0.7999999999999999,0.4266561765339926
100% Corpus,6,0.7,0.8999999999999999,0.43071232268715093
100% Corpus,6,0.7,symmetric,0.38595837599018573
100% Corpus,6,0.7999999999999999,0.5,0.41152436946481524
100% Corpus,6,0.7999999999999999,0.6,0.43325885029390404
100% Corpus,6,0.7999999999999999,0.7,0.43144575642769306
100% Corpus,6,0.7999999999999999,0.7999999999999999,0.45194488719286213
100% Corpus,6,0.7999999999999999,0.8999999999999999,0.44327019013901353
100% Corpus,6,0.7999999999999999,symmetric,0.3912710990002268
100% Corpus,6,0.8999999999999999,0.5,0.413708890406472
100% Corpus,6,0.8999999999999999,0.6,0.4267365542870987
100% Corpus,6,0.8999999999999999,0.7,0.42861645901790973
100% Corpus,6,0.8999999999999999,0.7999999999999999,0.44527801035167597
100% Corpus,6,0.8999999999999999,0.8999999999999999,0.4471980455665394
100% Corpus,6,0.8999999999999999,symmetric,0.39539273319380924
100% Corpus,6,symmetric,0.5,0.40008912983659656
100% Corpus,6,symmetric,0.6,0.4038086458342944
100% Corpus,6,symmetric,0.7,0.4281715780348641
100% Corpus,6,symmetric,0.7999999999999999,0.37266858791968677
100% Corpus,6,symmetric,0.8999999999999999,0.4450164551992479
100% Corpus,6,symmetric,symmetric,0.39831908757934253
100% Corpus,6,asymmetric,0.5,0.3984134079894875
100% Corpus,6,asymmetric,0.6,0.39843279833071304
100% Corpus,6,asymmetric,0.7,0.3998552383951861
100% Corpus,6,asymmetric,0.7999999999999999,0.46516861778220236
100% Corpus,6,asymmetric,0.8999999999999999,0.4516767747425256
100% Corpus,6,asymmetric,symmetric,0.3866505036272799
100% Corpus,7,0.5,0.5,0.4018546355375947
100% Corpus,7,0.5,0.6,0.43867726733350537
100% Corpus,7,0.5,0.7,0.4496745641755733
100% Corpus,7,0.5,0.7999999999999999,0.40945695016230715
100% Corpus,7,0.5,0.8999999999999999,0.4133190407149224
100% Corpus,7,0.5,symmetric,0.41620843721211215
100% Corpus,7,0.6,0.5,0.4096260177904082
100% Corpus,7,0.6,0.6,0.43468265864946226
100% Corpus,7,0.6,0.7,0.42940445673885935
100% Corpus,7,0.6,0.7999999999999999,0.4239998496615418
100% Corpus,7,0.6,0.8999999999999999,0.4154079607084177
100% Corpus,7,0.6,symmetric,0.41404121173998354
100% Corpus,7,0.7,0.5,0.42594742681398884
100% Corpus,7,0.7,0.6,0.4478038852863334
100% Corpus,7,0.7,0.7,0.4356014540807469
100% Corpus,7,0.7,0.7999999999999999,0.4376807031357607
100% Corpus,7,0.7,0.8999999999999999,0.4191093336572572
100% Corpus,7,0.7,symmetric,0.4102295880389296
100% Corpus,7,0.7999999999999999,0.5,0.4324054529998077
100% Corpus,7,0.7999999999999999,0.6,0.4397363754056329
100% Corpus,7,0.7999999999999999,0.7,0.43979404081916834
100% Corpus,7,0.7999999999999999,0.7999999999999999,0.4326857741340263
100% Corpus,7,0.7999999999999999,0.8999999999999999,0.40137155809186176
100% Corpus,7,0.7999999999999999,symmetric,0.41205368038163614
100% Corpus,7,0.8999999999999999,0.5,0.43204709359386395
100% Corpus,7,0.8999999999999999,0.6,0.4267214746325751
100% Corpus,7,0.8999999999999999,0.7,0.44360188055919103
100% Corpus,7,0.8999999999999999,0.7999999999999999,0.45466956643916573
100% Corpus,7,0.8999999999999999,0.8999999999999999,0.39845521136290774
100% Corpus,7,0.8999999999999999,symmetric,0.4117504441418696
100% Corpus,7,symmetric,0.5,0.4380883358229222
100% Corpus,7,symmetric,0.6,0.4465698260883781
100% Corpus,7,symmetric,0.7,0.4067186024975193
100% Corpus,7,symmetric,0.7999999999999999,0.4082234779357262
100% Corpus,7,symmetric,0.8999999999999999,0.4064986243470697
100% Corpus,7,symmetric,symmetric,0.38806215262962424
100% Corpus,7,asymmetric,0.5,0.3771132793532271
100% Corpus,7,asymmetric,0.6,0.45113818454429133
100% Corpus,7,asymmetric,0.7,0.4671464107798387
100% Corpus,7,asymmetric,0.7999999999999999,0.46898684089085974
100% Corpus,7,asymmetric,0.8999999999999999,0.4682062292887648
100% Corpus,7,asymmetric,symmetric,0.3994658662985144
100% Corpus,8,0.5,0.5,0.4506833591596609
100% Corpus,8,0.5,0.6,0.4597691641137849
100% Corpus,8,0.5,0.7,0.4282619585752697
100% Corpus,8,0.5,0.7999999999999999,0.3915966561758063
100% Corpus,8,0.5,0.8999999999999999,0.4437784485726223
100% Corpus,8,0.5,symmetric,0.42360262415336525
100% Corpus,8,0.6,0.5,0.4469608832717538
100% Corpus,8,0.6,0.6,0.4540393351743143
100% Corpus,8,0.6,0.7,0.40999139086238684
100% Corpus,8,0.6,0.7999999999999999,0.38309496410445176
100% Corpus,8,0.6,0.8999999999999999,0.39288953607439053
100% Corpus,8,0.6,symmetric,0.41471101455646703
100% Corpus,8,0.7,0.5,0.4351003732278633
100% Corpus,8,0.7,0.6,0.45750157971304767
100% Corpus,8,0.7,0.7,0.43465170358917987
100% Corpus,8,0.7,0.7999999999999999,0.375151164676259
100% Corpus,8,0.7,0.8999999999999999,0.3494672450121482
100% Corpus,8,0.7,symmetric,0.40660380469413615
100% Corpus,8,0.7999999999999999,0.5,0.4581973831234918
100% Corpus,8,0.7999999999999999,0.6,0.4691001187937601
100% Corpus,8,0.7999999999999999,0.7,0.43219873010649856
100% Corpus,8,0.7999999999999999,0.7999999999999999,0.3783735824393305
100% Corpus,8,0.7999999999999999,0.8999999999999999,0.3501294428123456
100% Corpus,8,0.7999999999999999,symmetric,0.41541719893073165
100% Corpus,8,0.8999999999999999,0.5,0.44299236374961776
100% Corpus,8,0.8999999999999999,0.6,0.457529827230637
100% Corpus,8,0.8999999999999999,0.7,0.42619418542456994
100% Corpus,8,0.8999999999999999,0.7999999999999999,0.3661959713745504
100% Corpus,8,0.8999999999999999,0.8999999999999999,0.3386871515391161
100% Corpus,8,0.8999999999999999,symmetric,0.41944420449143993
